# donor history coverage ledger
# forge_commit=78fad4069d778996c24ecf5acc5cbe0e1edea7a
# donor_commit=cc2d69425beea2c93a4000e44d49381deba8eed2
# total_rows=525
# disposition_counts={"rejected non scope item":334,"adapted later":191}
history_id	donor_commit	full_commit	short_commit	observed_date	message	applicability	disposition	requirement_id	phase_id	task_id	regression_id	evidence
HISTORY-0001	cc2d69425beea2c93a4000e44d49381deba8eed2	cc2d69425beea2c93a4000e44d49381deba8eed2	cc2d694	2026-09-10T17:34:47-05:00	merge final integration receipt.	non_product	rejected non scope item	CORE-REQ-006	CORE-PHASE-003	P003-TASK-001	REG-P000-HISTORY-0001	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 cc2d69425beea2c93a4000e44d49381deba8eed2
HISTORY-0002	cc2d69425beea2c93a4000e44d49381deba8eed2	29b0b244664e26c8a3982ccdcc3a7a01ced13f93	29b0b24	2026-09-10T17:34:16-05:00	record final integration receipt.	non_product	rejected non scope item	CORE-REQ-006	CORE-PHASE-003	P003-TASK-001	REG-P000-HISTORY-0002	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 29b0b244664e26c8a3982ccdcc3a7a01ced13f93
HISTORY-0003	cc2d69425beea2c93a4000e44d49381deba8eed2	eedb227a20d3335061db4454a1b5f90406b96047	eedb227	2026-09-10T17:32:34-05:00	merge 2.4.1 neoforge validation.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0003	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 eedb227a20d3335061db4454a1b5f90406b96047
HISTORY-0004	cc2d69425beea2c93a4000e44d49381deba8eed2	5ab5381c8da586960f0a9ce0d15bde690651e688	5ab5381	2026-09-10T17:30:22-05:00	complete support audit.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0004	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 5ab5381c8da586960f0a9ce0d15bde690651e688
HISTORY-0005	cc2d69425beea2c93a4000e44d49381deba8eed2	9d05e27236380fe364d60d4bd332633ba1a5aadb	9d05e27	2026-09-10T17:23:09-05:00	record stale client evidence.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0005	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 9d05e27236380fe364d60d4bd332633ba1a5aadb
HISTORY-0006	cc2d69425beea2c93a4000e44d49381deba8eed2	a7c9315bac8ba92f3254e43e5627965330f9cc6a	a7c9315	2026-09-10T17:21:37-05:00	add stale snapshot protection.	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0006	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 a7c9315bac8ba92f3254e43e5627965330f9cc6a
HISTORY-0007	cc2d69425beea2c93a4000e44d49381deba8eed2	2f6bfe207d0d2e44e4a8286f5418d6baddfe14a9	2f6bfe2	2026-09-10T15:44:19-05:00	align validation task scope.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0007	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 2f6bfe207d0d2e44e4a8286f5418d6baddfe14a9
HISTORY-0008	cc2d69425beea2c93a4000e44d49381deba8eed2	caf893510fb0d434034ad4aa9301130a5477e34b	caf8935	2026-09-10T15:42:22-05:00	record hybrid client validation.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0008	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 caf893510fb0d434034ad4aa9301130a5477e34b
HISTORY-0009	cc2d69425beea2c93a4000e44d49381deba8eed2	56b1cc180b9373616cd153e50f34fe019625fb52	56b1cc1	2026-09-10T14:15:58-05:00	record restore and client evidence.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0009	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 56b1cc180b9373616cd153e50f34fe019625fb52
HISTORY-0010	cc2d69425beea2c93a4000e44d49381deba8eed2	0385433d259f9294dff576e920debb50dab192b2	0385433	2026-09-10T13:46:26-05:00	record fresh hybrid durability evidence.	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-HISTORY-0010	git log 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 0385433d259f9294dff576e920debb50dab192b2
