# CORE-IF-001 semantic delta ledger
# forge_commit=78fad4069d778996c24ecf5acc5cbe0e1edea7a
# donor_commit=cc2d69425beea2c93a4000e44d49381deba8eed2
# total_rows=1923
# disposition_counts={"Forge only preservation":1422,"adapted later":370,"rejected non scope item":131}
delta_id	donor_commit	donor_path	semantic_change	forge_path	applicability	disposition	requirement_id	phase_id	task_id	regression_id	evidence
DELTA-0001	cc2d69425beea2c93a4000e44d49381deba8eed2	none	build preservation	.github/dependabot.yml	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-0001	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 .github/dependabot.yml
DELTA-0002	cc2d69425beea2c93a4000e44d49381deba8eed2	none	build preservation	.github/workflows/quality.yml	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-0002	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 .github/workflows/quality.yml
DELTA-0003	cc2d69425beea2c93a4000e44d49381deba8eed2	none	build preservation	.github/workflows/release-validation.yml	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-0003	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 .github/workflows/release-validation.yml
DELTA-0004	cc2d69425beea2c93a4000e44d49381deba8eed2	.gitignore	configuration semantic change	.gitignore	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-0004	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 .gitignore
DELTA-0005	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	CURSEFORGE.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0005	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 CURSEFORGE.md
DELTA-0006	cc2d69425beea2c93a4000e44d49381deba8eed2	none	dependency preservation	Compat/apocalypsenow-3.0.5-forge-1.20.1.jar	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-0006	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 Compat/apocalypsenow-3.0.5-forge-1.20.1.jar
DELTA-0007	cc2d69425beea2c93a4000e44d49381deba8eed2	none	dependency preservation	Compat/tacz-1.20.1-1.1.8-hotfix.jar	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-0007	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 Compat/tacz-1.20.1-1.1.8-hotfix.jar
DELTA-0008	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	DOCUMENTATION.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0008	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 DOCUMENTATION.md
DELTA-0009	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	FutureShops3-0Plan.MD	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0009	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 FutureShops3-0Plan.MD
DELTA-0010	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	FutureShops3-1TradeOffersPlan.MD	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0010	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 FutureShops3-1TradeOffersPlan.MD
